,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
381,공고중,[개] 진도견,암컷,0.0,하양,2020,12.7,경남-함안-2021-00124,2021-05-12~2021-05-24,칠서면 태곡 하우스옆,약간 소심하나 호전가능,함안군동물보호소,경상남도 함안군청
382,공고중,[개] 진도견,수컷,,흰색,2015,21.0,대구-수성-2021-00167,2021-05-13 ~2021-05-24,월드컵 경기장 주변,겁이많음,허동물병원,대구광역시 수성구청
383,공고중,[개] 진도견,수컷,0.0,흰색,2017,20.0,경기-평택-2021-00858,2021-05-13 ~2021-05-24,안중 119,경계함,평택시유기동물보호소,경기도 평택시청
384,완료(귀가),[개] 진도견,수컷,0.0,흰색,2020,33.0,경북-영주-2021-00108,2021-05-13 ~ 2021-05-24,영주시 대영고등학교 부근,특이사항 없음,영주시 동물보호센터,경상북도 영주시청
385,공고중,[개] 진도견,암컷,0.0,화이트,2021,4.0,경남-밀양-2021-00727,2021-05-13 ~2021-05-24,단장,산중턱에 유기/두마리 함께 구조/귀여운 아이들,밀양시동물보호센터,경상남도 밀양시청
386,공고중,[개] 진도견,암컷,0.0,화이트,2021,4.0,경남-밀양-2021-00728,2021-05-13 ~2021-05-24,단장,산중턱에 유기/두마리 함께 구조/귀여운 아이들,밀양시동물보호센터,경상남도 밀양시청
387,완료(귀가),[개] 진도견,수컷,0.0,흰색,2017,17.3,경남-하동-2021-00137,2021-05-13 ~2021-05-24,하동군 하동읍 중앙로 63,사람을 잘따르고 순함. 빨간색 목줄 착용.,하동군유기동물보호소,경상남도 하동군청
388,공고중,[개] 진도견,암컷,0.0,흰색,2018,20.0,충북-음성-2021-00116,2021-05-19 ~2021-05-27,삼성면 원하이택,검은색 목태 착용 귀색이 갈색,테오종합동물병원,충청북도 음성군청
389,공고중,[개] 진도견,수컷,0.0,흰색,2018,18.5,울산-울주-2021-00320,2021-05-14~2021-05-24,웅존면 괴천길 17-6,믹스추정/경계심 심함/,울산유기동물보호센터,울산광역시 울주군청
390,공고중,[개] 진도견,암컷,0.0,흰색,2021,7.5,경기-이천-2021-00255,2021-005-14~2021-05-24,장호원읍 이황리,겁이 다소있음,위더스 동물보호센터,경기도 이천시청
391,공고중,[개] 진도견,암컷,,흰색,2020,15.0,강원-춘천-2021-00185,2021-05-14~2021-05-24,북산면 북산로 1032,"흰색, 겁이많음, 진드기있음",춘천시 동물보호센터,강원도 춘천시청
392,완료(귀가),[개] 진도견,수컷,,흰색,2016,15.0,강원-춘천-2021-00186,2021-05-14~2021-05-24,발1길4-13,온순,춘천시 동물보호센터,강원도 춘천시청
