,state,kind,sex,neutralization,color,birth,weight,number,period,location,feature,center,department
99,보호중,[개] 말티즈,암컷,,흰색,2019.0,2.3,경남-창원2-2021-00099,2021-04-171 ~2021-04-22,마산회원구 합성남5길 18 (또바기카레),"귀+발+꼬리 남기고 미용, 녹색목줄 착용, 순하지만 안기만하",마산유기동물보호소,경상남도 창원시 마산합포회원구청
100,완료(귀가),[개] 말티즈,암컷,,흰,2013.0,2.8,서울-성북-2021-00040,2021-04-72~2021-04-22,한천로70길 21 인근,눈물자국.입주변변색.잇몸질환/치석심함.전신미용흔적.네발,한국동물구조관리협회,서울특별시 성북구청
101,완료(귀가),[개] 말티즈,수컷,0.0,흰,2018.0,3.6,서울-은평-2021-00053,2021-04-72~2021-04-22,불광로 129-1 독바위역 인근,"코검정. 겁있음/양전/사람따름. 꼬리단미안됨, 털때탐.",한국동물구조관리협회,서울특별시 은평구정
102,완료(입양),[개] 말티즈,수컷,0.0,흰색,2020.0,3.04,부산-수영-2021-00042,2021-04ㄱ72~2021-04-22,수영동 47673,"자주색+흰색 후드티, 미용됨, 흰색",누리동물병원,부산광역시 수영구청
103,완료(귀가),[개] 말티즈,암컷,,흰색,2018.0,3.0,대구-달성-2021-00145,2021-04-12 ~2021-04-22,유가파출소,"등록칩있음, 순함.",명곡역동물병원,대구광역시 달성군정
104,완료(귀가),[개] 말티즈,수컷,0.0,흰,2015.0,3.0,경기-수원-2021-00183,2021-04-12 ~2021-04-22,영통구 에듀타운로91,견주 연락당음,수원시 동물보호센터,경기도 수원시청
105,완료(입양),[개] 말티즈,암컷,0.0,흰,2012.0,2.25,경기-수원-2021-00184,2021-04-12 ~2021-04-22,장안구 경수대로 1102(삼익아파트 입구),"백내장 증상, 후구보행 이상, 유선종양",수원시 동물보호센터,경기도 수원시청
106,보호중,[개] 말티즈,수컷,0.0,화이트,2018.0,2.8,경북-상주-2021-00287,2021-04-12~2021-04-22,상주시화북면 장각폭포옆,온순하고 사람올좋아함,상주유기동물보호센터,경상북도 상주시청
107,완료(귀가),[개] 말티즈,수컷,1.0,흰,2013.0,4.4,서울-노원-2021-00045,2021-04-72~2021-04-22,월계2치안센터 앞,"사고추정, 뒷다리골절. 백내장있음",한국동물구조관리협회,서울특별시 노원구청
108,완료(귀가),[개] 말티즈,암컷,,흰색,2011.0,3.0,대구-동구-2021-00068,2021-04-12~2021-04-22,평화로 78 명품관 옷가게,몸통 미용,대구유기동물보호센터,대구광역시 동구청
109,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2013.0,3.4,인천-서구-2021-00185,2021-04-12~2021-04-22,검암동660-3,순함.미용한지얼마안됨. 치석많음,가정동물병원,인천광역시 서구청
110,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2018.0,4.9,경기-남양주-2021-00419,2021-04-72~2021-04-22,오남 진주아파트,목줄없고 사람을 잘따름,남양주동물보호협회,경기도 남양주시청
111,완료(입양),[개] 말티즈,수컷,1.0,흰색,2020.0,3.0,경기-광주-2021-00187,2021-04-72~2021-04-22,광주시 도척로 차도변,"4-21, 칩없음, 말티푸, 연갈색털이 조금 섞여있음, 온순한 성",광주7동물병원초월,경기도 광주시청
112,완료(귀가),[개] 말티즈,수컷,0.0,흰색,2012.0,4.6,강원-속초-2021-00060,2021-04-12~2021-04-22,조양동 아뜨리움 아파트 앞,온순함,속초시유기동물보호소,강원도 속초시청
113,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2016.0,4.2,전북-전주-2021-00437',2021-04-12~2021-04-21,완산구 석구동,털을 가위로 자름,프렌즈동물병원,전라북도 전주시청
114,완료(귀가),[개] 말티즈,암컷,,흰색,2010.0,2.5,부산-북구-2021-00079,2021-004-13 ~2021-04-23,화명동 힐스 102동,"노견,이가거의없음,혀가 나와있음,너무 작고 약함,북구1-45호",부산동물보호센터,부산광역시 북구청
115,완료(입양),[개] 말티즈,수컷,0.0,흰,2020.0,4.6,경기-김포-2021-00167',2021-04-73 ~2021-04-23,,설사함(코로나,한국동물구조관리협회,경기도 김포시청
116,완료(입양),[개] 말티즈,수컷,,흰색,2017.0,2.72,경남-김해-2021-00355,2021-04-13 ~ 2021-04-23,김해시 김해대로 2634,"1-328,기본 미용되어 있음",누리동물병원,경상남도 김해시청
117,완료(입양),[개] 말티즈,수컷,1.0,흰,2021.0,3.0,서울-도봉-2021-00050,2021-04-74~2021-04-21,창4동 474 인근,"공룡그림 초록테두리못. 전신미용흔적, 온순함/언함. 꼬리",한국동물구조관리협회,서울특별시 도봉구청
118,완료(귀가),[개] 말티즈,암컷,,흰색,2017.0,4.7,경기-고양-2021-00341,2021-04-14~2021-04-26,화정동136-37 부근,미용되어있음.,고양시동물보호센터,경기도 고양시청
119,완료(입양),[개] 말티즈,암컷,,화이트,2018.0,5.0,전남-화순-2021-00096,2021-04-74~2021-04-26,동면 구수동길,특징없음,화순군유기동물보호소,전라남도 화순군청
120,완료(귀가),[개] 말티즈,암컷,0.0,흰,2019.0,3.4,서울-강동-2021-00056,2021-04-73 ~2021-04-23,암사1동 치안센터,"소유주확인, 발견당시하네스착용, 양쪽슬개골탈구1기추정",강동리본센터,서울특별시 강동구청
121,완료(입양),[개] 말티즈,수컷,0.0,흰색,2020.0,5.4,인천-서구-2021-00199,2021-04-13 ~ 2021-04-23,석남동597,겁많음.순함.활발함,가정동물병원,인천광역시 서구청
122,완료(입양),[개] 말티즈,수컷,0.0,흰색,2019.0,3.9,강원-속초-2021-00063,2021-04-13 ~ 2021-04-23,싸리재 신라샘근처,"귀가 큼,온순함",속초시유기동물보호소,강원도 속초시청
123,완료(입양),[개] 말티즈,수컷,0.0,흰색,2018.0,3.0,충북-충주-2021-00145,2021-04-13 ~2021-04-22,봉방동 현대자동차 인근,순함 사상충음성,중주시동물보호센터,충청북도 충주시청
124,완료(입양),[개] 말티즈,수컷,0.0,흰색,2020.0,5.0,충남-아산-2021-00312,2021-04-73 ~2021-04-22,중앙로 12번길 13 집 마당,503호(관리) 312호(공고),아산시동물보호센터,충청남도 아산시청
125,완료(귀가),[개] 말티즈,수컷,1.0,흰색,2016.0,5.0,대구-동구-2021-00072,2021-04-14~2021-04-24,율하역 엘쿠르 아파트 관리실,미용,대구유기동물보호센터,대구광역시 동구청
126,종료(안락사),[개] 말티즈,암컷,,흰색,2013.0,3.0,대구-북구-2021-00072,2021-04-14~2021-04-24,침산 119,.,대구유기동물보호센터,대구광역시 북구청
127,완료(입양),[개] 말티즈,암컷,,흰색,2019.0,2.2,,2021-04-74~2021-04-26,미추흘구 주안동 시민동물병원,전신 미용,인천광역시 수의사회,인천광역시 미추홀구청
